Symbol,Gene_Name,logFC,Average_Expression,t_Statistic,P_Value,Adjusted_P_Value,Regulation
Uqcrb,ubiquinol-cytochrome c reductase binding protein,1.9599,10.2560,1.6843,1.4641e-1,3.4451e-1,Up
Pomp,proteasome maturation protein,1.9288,10.1650,1.6965,1.4401e-1,3.4085e-1,Up
Ndufc2,NADH:ubiquinone oxidoreductase subunit C2,1.9126,9.8743,1.8403,1.1860e-1,3.1060e-1,Up
Actb,"actin, beta",-4.9386,10.9090,-19.4600,2.2427e-6,1.7461e-4,Down
Scd2,stearoyl-Coenzyme A desaturase 2,-4.8155,10.6160,-28.0900,2.8995e-7,6.5619e-5,Down
Tubb4a,"tubulin, beta 4A class IVa",-3.4494,9.4296,-24.9960,5.5633e-7,8.5754e-5,Down
Tuba1a,"tubulin, alpha 1A",-3.0468,12.4820,-1.8820,1.1211e-1,3.0116e-1,Down
Cnbp,"CCHC-type zinc finger, nucleic acid binding protein",-2.8375,8.9730,-3.2545,1.9054e-2,1.5575e-1,Down
Capns1,"calpain, small subunit 1",-2.7275,8.9482,-21.0350,1.4550e-6,1.5699e-4,Down
Bin1,bridging integrator 1,-2.6271,8.9808,-11.1800,4.7150e-5,2.0006e-3,Down
Sys1,Sys1 golgi trafficking protein,-2.5555,8.9545,-19.4240,2.2655e-6,1.7461e-4,Down
Pea15,proliferation and apoptosis adaptor protein 15,-2.4616,9.0551,-18.9600,2.5911e-6,1.8638e-4,Down
Bcan,brevican,-2.4598,8.7721,-2.6716,3.9359e-2,1.9879e-1,Down
Selenot,selenoprotein T,-2.3904,9.0354,-20.1030,1.8718e-6,1.7461e-4,Down
Shisa4,shisa family member 4,-2.2968,8.6289,-13.5660,1.6431e-5,8.0588e-4,Down
Aplp1,amyloid beta precursor like protein 1,-2.2701,10.5680,-1.9368,1.0412e-1,2.9180e-1,Down
Ppp2cb,protein phosphatase 2 catalytic subunit beta,-2.1744,8.8156,-19.9080,1.9763e-6,1.7461e-4,Down
Ncam1,neural cell adhesion molecule 1,-2.1234,8.9651,-10.3590,7.1162e-5,2.6477e-3,Down
Atp5f1e,ATP synthase F1 subunit epsilon,-1.8035,10.1540,-5.7025,1.5667e-3,3.9314e-2,Down
Fam107a,"family with sequence similarity 107, member A",-1.7970,8.4461,-3.2012,2.0317e-2,1.5771e-1,Down
Chst2,carbohydrate sulfotransferase 2,-1.7945,8.4715,-9.6576,1.0365e-4,3.7280e-3,Down
Hnrnph1,heterogeneous nuclear ribonucleoprotein H1,-1.7444,8.4070,-3.4498,1.5113e-2,1.4136e-1,Down
Rab18,"RAB18, member RAS oncogene family",-1.6704,8.2326,-3.3497,1.7006e-2,1.4679e-1,Down
Dync1li2,"dynein, cytoplasmic 1 light intermediate chain 2",-1.6371,8.1397,-9.3094,1.2609e-4,4.2515e-3,Down
Msmo1,methylsterol monooxygenase 1,-1.5614,8.5691,-8.3459,2.2483e-4,7.3512e-3,Down
Srsf5,serine and arginine rich splicing factor 5,-1.5533,8.4036,-11.1340,4.8208e-5,2.0006e-3,Down
Ptp4a1,protein tyrosine phosphatase 4A1,-1.5142,8.4407,-12.4550,2.6213e-5,1.1785e-3,Down
Rnd2,Rho family GTPase 2,-1.4737,8.4082,-12.6260,2.4340e-5,1.1418e-3,Down
